,ward,wardLat,wardLong,venue,venueLat,venueLong,venueCat
0,Abbey,51.415387968609856,-0.19144558744394619,Aya Lebanese Cuisine,51.416119921743636,-0.19250701229915063,Lebanese Restaurant
1,Abbey,51.415387968609856,-0.19144558744394619,Takahashi,51.416424,-0.19230366,Sushi Restaurant
2,Abbey,51.415387968609856,-0.19144558744394619,Little Vietnam,51.415625479692544,-0.19285177917280952,Vietnamese Restaurant
3,Abbey,51.415387968609856,-0.19144558744394619,Latitude,51.418942,-0.19344,Restaurant
4,Abbey,51.415387968609856,-0.19144558744394619,Maki Yaki,51.41826880240543,-0.19321103238898762,Sushi Restaurant
5,Abbey,51.415387968609856,-0.19144558744394619,Nelson Wines,51.41582015996071,-0.18895909378900588,Liquor Store
6,Abbey,51.415387968609856,-0.19144558744394619,Cedar Restaurant,51.41584826,-0.188032,Lebanese Restaurant
7,Abbey,51.415387968609856,-0.19144558744394619,Noodle Foodle,51.41866777079315,-0.19349927141685191,Noodle House
8,Abbey,51.415387968609856,-0.19144558744394619,The Garden Shed,51.42019690443749,-0.18702209466497297,Pub
9,Abbey,51.415387968609856,-0.19144558744394619,Polka Theatre,51.419650489395565,-0.1949648285751643,Theater
10,Abbey,51.415387968609856,-0.19144558744394619,The Sultan,51.41851015376454,-0.18516096705209686,Pub
11,Abbey,51.415387968609856,-0.19144558744394619,Merton Abbey Mills,51.413321591287946,-0.18337353251336955,Flea Market
12,Abbey,51.415387968609856,-0.19144558744394619,Made In Italy,51.41919056310421,-0.19957070594347162,Italian Restaurant
13,Abbey,51.415387968609856,-0.19144558744394619,Rock Star Sushi,51.413101,-0.183323,Sushi Restaurant
14,Abbey,51.415387968609856,-0.19144558744394619,Wandle Pirates,51.41304,-0.18311709,Steakhouse
15,Abbey,51.415387968609856,-0.19144558744394619,Bliss Cafe,51.419593,-0.1944,Café
16,Abbey,51.415387968609856,-0.19144558744394619,South Park Gardens,51.4221122489861,-0.19909963130645458,Park
17,Abbey,51.415387968609856,-0.19144558744394619,Belgian Brasserie,51.413151773028936,-0.18294624301211376,Dessert Shop
18,Abbey,51.415387968609856,-0.19144558744394619,Liqui Liqui,51.416527,-0.18103805,Coffee Shop
19,Abbey,51.415387968609856,-0.19144558744394619,The Charles Holden,51.4179573958635,-0.17841780087608047,Pub
20,Abbey,51.415387968609856,-0.19144558744394619,Al Forno,51.41982230088118,-0.20197860053881875,Italian Restaurant
21,Abbey,51.415387968609856,-0.19144558744394619,Gourmet Kebab House,51.41628171576929,-0.182171084523026,Fast Food Restaurant
22,Abbey,51.415387968609856,-0.19144558744394619,Dip & Flip,51.41965684083273,-0.2027596803615301,Burger Joint
23,Abbey,51.415387968609856,-0.19144558744394619,Nuffield Health Fitness & Wellbeing Gym,51.41391586015933,-0.18007278442382812,Gym / Fitness Center
24,Abbey,51.415387968609856,-0.19144558744394619,Slurp,51.418954943822776,-0.19355266151518846,Asian Restaurant
25,Abbey,51.415387968609856,-0.19144558744394619,YMCA,51.4193434184237,-0.1967573897985622,Gym
26,Abbey,51.415387968609856,-0.19144558744394619,Touro Brazilian Steakhouse,51.41990779726155,-0.20345864254979773,Brazilian Restaurant
27,Abbey,51.415387968609856,-0.19144558744394619,Nando's,51.4192813,-0.2019612,Portuguese Restaurant
28,Abbey,51.415387968609856,-0.19144558744394619,Lambourne Bar & Grill,51.419383844931936,-0.1952570730579039,Gastropub
29,Abbey,51.415387968609856,-0.19144558744394619,Wandle Park,51.41899519316115,-0.17999848843816785,Park
30,Abbey,51.415387968609856,-0.19144558744394619,Deen City Farm,51.40803719153588,-0.18546807647100488,Farm
31,Abbey,51.415387968609856,-0.19144558744394619,New Wimbledon Theatre,51.41915919260831,-0.20137479990738313,Theater
32,Abbey,51.415387968609856,-0.19144558744394619,Gourmet Burger Kitchen,51.4195434,-0.2014483,Burger Joint
33,Abbey,51.415387968609856,-0.19144558744394619,imm Thai Fusion,51.419247,-0.19819781,Thai Restaurant
34,Abbey,51.415387968609856,-0.19144558744394619,Five Guys,51.4199409484863,-0.20325879752636,Burger Joint
35,Abbey,51.415387968609856,-0.19144558744394619,Istanbul Meze Mangal,51.41679359474994,-0.18042007880326782,Turkish Restaurant
36,Abbey,51.415387968609856,-0.19144558744394619,The Old Frizzle,51.419625397629524,-0.20224600621880548,Bar
37,Abbey,51.415387968609856,-0.19144558744394619,Corleone,51.4183002038003,-0.17832547589889383,Italian Restaurant
38,Abbey,51.415387968609856,-0.19144558744394619,La Nonna,51.41923350706031,-0.19639708779029955,Italian Restaurant
39,Abbey,51.415387968609856,-0.19144558744394619,Hi Bangkok,51.41503393650055,-0.20033419132232666,Thai Restaurant
40,Abbey,51.415387968609856,-0.19144558744394619,Ban Yai,51.41324795,-0.18306861,Thai Restaurant
41,Abbey,51.415387968609856,-0.19144558744394619,Dirty Burger/Chicken Shop,51.41949203655831,-0.20155731473757973,Restaurant
42,Abbey,51.415387968609856,-0.19144558744394619,Costa Express,51.41695546668856,-0.19246648425779286,Coffee Shop
43,Abbey,51.415387968609856,-0.19144558744394619,Antoinette Hotel,51.4193922365289,-0.19503390746876353,Hotel
44,Abbey,51.415387968609856,-0.19144558744394619,Nando's,51.41379065225573,-0.17791737435550922,Portuguese Restaurant
45,Abbey,51.415387968609856,-0.19144558744394619,Rosy Lea Cafe,51.41918151692638,-0.19789251802647398,Café
46,Abbey,51.415387968609856,-0.19144558744394619,Waterstones,51.419846,-0.203422,Bookstore
47,Abbey,51.415387968609856,-0.19144558744394619,Costa Express,51.415466,-0.19257456,Coffee Shop
48,Abbey,51.415387968609856,-0.19144558744394619,The Trafalgar,51.41247992760844,-0.1874087662018967,Pub
49,Abbey,51.415387968609856,-0.19144558744394619,Bonjour Brioche,51.418907,-0.190923,Café
50,Abbey,51.415387968609856,-0.19144558744394619,Premier Inn London Wimbledon South,51.4141209,-0.1805125,Hotel
51,Abbey,51.415387968609856,-0.19144558744394619,Caffè Nero,51.414399,-0.177373,Coffee Shop
52,Abbey,51.415387968609856,-0.19144558744394619,Kilkenny Tavern,51.41560951290152,-0.1916657133355756,Bar
53,Abbey,51.415387968609856,-0.19144558744394619,Premier Inn London Wimbledon (Broadway) hotel,51.41895218646545,-0.19877256047413994,Hotel
54,Abbey,51.415387968609856,-0.19144558744394619,Better Wimbledon Leisure Centre,51.42000046862245,-0.1932848134227761,Gym Pool
55,Abbey,51.415387968609856,-0.19144558744394619,Sainsbury's,51.415167394109055,-0.18166947687030754,Supermarket
56,Abbey,51.415387968609856,-0.19144558744394619,The Nelson Arms,51.41599471226258,-0.18646038501873977,Bar
57,Abbey,51.415387968609856,-0.19144558744394619,Marks & Spencer,51.41514424,-0.18157166,Department Store
58,Abbey,51.415387968609856,-0.19144558744394619,Katavento,51.41308536689211,-0.18323869022326028,Brazilian Restaurant
59,Abbey,51.415387968609856,-0.19144558744394619,CeX,51.41996621717843,-0.20334631204605103,Video Game Store
60,Abbey,51.415387968609856,-0.19144558744394619,Confucius,51.41950781084852,-0.19459153026790438,Chinese Restaurant
61,Abbey,51.415387968609856,-0.19144558744394619,Next,51.41444393,-0.17736584,Clothing Store
62,Abbey,51.415387968609856,-0.19144558744394619,Haydons Road Recreation Ground,51.419661690416675,-0.18732454084173583,Park
63,Abbey,51.415387968609856,-0.19144558744394619,Co-op Food,51.417713,-0.17849296,Grocery Store
64,Abbey,51.415387968609856,-0.19144558744394619,Mai Thai,51.41962803812717,-0.20261260326453598,Thai Restaurant
65,Abbey,51.415387968609856,-0.19144558744394619,Domino's Pizza,51.41520247231412,-0.19726994171617207,Pizza Place
66,Abbey,51.415387968609856,-0.19144558744394619,Dunelm,51.41547274,-0.1789022,Furniture / Home Store
67,Abbey,51.415387968609856,-0.19144558744394619,Sainsbury's Local,51.41574156535557,-0.19331169934470038,Grocery Store
68,Abbey,51.415387968609856,-0.19144558744394619,Smash,51.419501,-0.201709,Sports Bar
69,Abbey,51.415387968609856,-0.19144558744394619,Costa Coffee,51.417287,-0.178025,Coffee Shop
70,Abbey,51.415387968609856,-0.19144558744394619,Tesco Express,51.41550568283277,-0.1926255226135254,Grocery Store
71,Abbey,51.415387968609856,-0.19144558744394619,Tesco Express,51.41695368443837,-0.1921132206916809,Grocery Store
72,Abbey,51.415387968609856,-0.19144558744394619,Holiday Inn Express London - Wimbledon South,51.41780009070503,-0.17895430326461792,Hotel
